arm,entry_date,exit_date,ticker,entry,stop,exit,realized,R,hold_days,reasons,sic2,group_n,group_rank,group_N,leader_rank_1m,leader_N_1m,leader_rank_3m,leader_N_3m,leader_rank_6m,leader_N_6m,etf,etf_rank,etf_N,dvol20,adr20
A0,2025-02-18,2025-02-19,BA,188.67,184.22,184.0358,-342.82,-1.041,1,stop,37,23.0,7.0,15.0,145.0,608,82.0,608,327.0,602,XLI,10.0,11.0,1371106603.342,0.030588090565697355
A0,2025-02-18,2025-02-19,SNOW,193.79,189.09,188.9009,-347.38,-1.04,1,stop,73,105.0,1.0,15.0,119.0,608,45.0,608,134.0,602,XLK,4.0,11.0,929797405.107,0.03395253879569608
A0,2025-02-25,2025-02-26,MIDD,178.08,173.67,170.9988,-538.01,-1.607,1,stop,35,35.0,3.0,17.0,50.0,694,80.0,693,211.0,689,XLI,9.0,11.0,148032554.7605,0.024742981049612575
A0,2025-01-15,2025-03-05,TPR,69.16,67.5,78.9909,1101.17,5.912,49,close<MA;partial,31,3.0,,,65.0,523,61.0,520,63.0,518,XLY,1.0,11.0,289760852.727,0.02404610580684008
A0,2025-03-05,2025-03-10,AGI,24.29,23.52,23.501,-370.47,-1.031,5,stop,10,16.0,3.0,21.0,46.0,767,27.0,765,178.0,761,XLB,11.0,11.0,65550255.123,0.031685075135164505
A0,2025-03-18,2025-03-25,CVS,67.32,66.33,66.2687,-208.67,-1.068,7,stop,59,12.0,15.0,22.0,223.0,908,22.0,906,229.0,902,XLP,5.0,11.0,561323385.1585001,0.02927975739628576
A0,2025-03-24,2025-03-25,FNV,156.98,155.4,155.2446,-147.24,-1.099,1,stop,10,17.0,1.0,22.0,42.0,892,25.0,888,129.0,884,XLB,6.0,11.0,135838968.73250002,0.026855740278951417
A0,2025-03-27,2025-03-31,AEM,107.99,105.3,105.1947,-184.35,-1.039,4,stop,10,17.0,1.0,23.0,90.0,850,24.0,845,113.0,840,XLB,6.0,11.0,255759526.95649996,0.026476025099591367
A0,2025-03-28,2025-03-31,FNV,158.68,155.29,155.1347,-184.28,-1.046,3,stop,10,17.0,1.0,24.0,49.0,836,25.0,831,120.0,826,XLB,6.0,11.0,144549441.6295,0.025555564682312175
A0,2025-03-19,2025-04-01,HALO,63.45,62.52,63.5407,18.72,0.095,13,partial;stop,,,,,90.0,894,25.0,892,409.0,888,,,,84503629.604,0.03051496635463405
A0,2025-03-31,2025-04-01,WPM,77.94,75.98,75.9006,-183.56,-1.039,1,stop,10,17.0,1.0,24.0,39.0,826,23.0,821,124.0,816,XLB,7.0,11.0,134449851.474,0.02519382302187991
A0,2025-03-31,2025-04-02,T,28.54,28.21,28.1818,-166.59,-1.086,2,stop,48,13.0,3.0,24.0,108.0,826,36.0,821,73.0,816,XLC,9.0,11.0,1245608624.9720001,0.026334459843817538
A0,2025-04-03,2025-04-04,CVS,68.94,67.28,65.5544,-649.82,-2.039,1,stop,59,11.0,16.0,21.0,153.0,778,10.0,775,217.0,770,XLP,5.0,11.0,565710712.7065,0.02407651875671448
A0,2025-04-03,2025-04-04,AEM,110.47,107.78,105.2047,-626.02,-1.962,1,stop,10,16.0,1.0,21.0,59.0,778,20.0,775,76.0,770,XLB,7.0,11.0,265516203.4945,0.024272267759185135
A0,2025-04-03,2025-04-04,WPM,78.12,76.19,76.1138,-339.56,-1.042,1,stop,10,16.0,1.0,21.0,56.0,778,19.0,775,97.0,770,XLB,7.0,11.0,140539659.7815,0.02469008287782443
A0,2025-04-23,2025-04-24,CELH,39.19,36.87,36.8331,-176.4,-1.016,1,stop,20,30.0,2.0,25.0,21.0,1068,11.0,1066,113.0,1061,XLP,1.0,11.0,283128873.205,0.06290414684968348
A0,2025-05-05,2025-05-09,MNST,60.35,59.63,58.7512,-343.81,-2.22,4,stop,20,30.0,6.0,25.0,390.0,1065,31.0,1061,194.0,1058,XLP,1.0,11.0,357452103.328,0.025978977038466196
A0,2025-05-15,2025-05-20,CNK,31.7,31.32,31.2887,-169.33,-1.082,5,stop,78,2.0,,,409.0,762,332.0,757,310.0,755,XLC,6.0,11.0,109780651.30250001,0.03226894214185834
A0,2025-05-20,2025-05-21,ULTA,422.13,411.74,407.2124,-238.71,-1.436,1,stop,59,10.0,13.0,18.0,347.0,690,109.0,686,212.0,684,XLY,8.0,11.0,253365649.06149998,0.024610034357760956
A0,2025-05-20,2025-05-23,DLTR,90.19,87.75,87.6651,-179.27,-1.036,3,stop,53,9.0,,,438.0,690,69.0,686,73.0,684,XLY,8.0,11.0,315476023.6685,0.027022892634188833
A0,2025-05-22,2025-06-03,CNK,32.56,32.1,32.7628,74.92,0.433,12,partial;stop,78,3.0,,,323.0,617,78.0,613,245.0,611,XLC,5.0,11.0,105652383.5135,0.031090000918270848
A0,2025-05-22,2025-06-04,GME,29.42,28.51,29.7354,59.73,0.348,13,partial;stop,57,4.0,,,460.0,617,152.0,613,214.0,611,XLY,9.0,11.0,193966738.1784999,0.0308720183660119
A0,2025-05-23,2025-06-04,CRWD,451.6,437.56,455.9943,52.72,0.313,12,partial;stop,73,98.0,7.0,15.0,221.0,600,137.0,596,82.0,594,XLK,6.0,11.0,1399842624.1150002,0.031094359080797374
A0,2025-06-09,2025-06-10,UAL,85.21,83.43,83.1767,-309.07,-1.142,1,stop,45,6.0,,,217.0,500,279.0,498,276.0,493,XLI,2.0,11.0,588785723.3595,0.04141643780407264
A0,2025-06-11,2025-06-12,SHOP,112.49,111.29,111.1787,-151.07,-1.093,1,stop,73,85.0,6.0,10.0,100.0,480,187.0,478,207.0,474,XLK,1.0,11.0,1451729618.2389998,0.03152253170659544
A0,2025-06-12,2025-06-13,NVDA,145.14,141.85,141.7081,-305.88,-1.043,1,stop,36,35.0,5.0,10.0,94.0,473,136.0,471,169.0,467,XLK,1.0,11.0,30372521359.738503,0.025999255636867342
A0,2025-06-16,2025-06-17,DASH,221.1,219.63,219.4104,-98.05,-1.149,1,stop,73,85.0,6.0,11.0,107.0,484,150.0,479,84.0,475,XLI,2.0,11.0,861092456.433,0.029832145978971415
A0,2025-06-16,2025-06-18,NVDA,145.14,143.2,143.0569,-183.75,-1.074,2,stop,36,36.0,5.0,11.0,183.0,484,161.0,479,153.0,475,XLK,1.0,11.0,29402628225.066505,0.02529630751503652
A0,2025-06-16,2025-06-18,AMAT,175.97,172.79,172.6173,-180.82,-1.054,2,stop,36,36.0,5.0,11.0,290.0,484,210.0,479,168.0,475,XLK,1.0,11.0,1177651056.1225,0.024966429764117316
A0,2025-06-17,2025-06-20,CRWD,491.69,475.61,475.1391,-165.52,-1.03,3,stop,73,86.0,6.0,11.0,137.0,497,96.0,492,74.0,488,XLK,1.0,11.0,1960085695.8205001,0.0326963626060944
A0,2025-06-18,2025-06-23,SMCI,44.87,42.79,42.7472,-174.05,-1.021,5,stop,35,21.0,8.0,12.0,359.0,503,194.0,497,133.0,494,XLK,1.0,11.0,1430892753.715,0.04741556088320367
A0,2025-06-20,2025-06-23,NVDA,146.32,142.72,142.3575,-186.29,-1.101,3,stop,36,40.0,5.0,11.0,161.0,506,122.0,501,161.0,498,XLK,1.0,11.0,28976424337.510998,0.024596844048273857
A0,2025-06-24,2025-06-26,SNOW,219.7,219.25,219.0308,-39.08,-1.482,2,stop,73,93.0,8.0,12.0,89.0,519,86.0,514,100.0,511,XLK,1.0,11.0,1022951756.5585,0.026535525694049718
A0,2025-06-24,2025-07-01,AVGO,265.7,258.77,267.6037,45.8,0.276,7,partial;stop,36,39.0,5.0,12.0,173.0,519,96.0,514,181.0,511,XLK,1.0,11.0,6430966884.2515,0.02892242963743799
A0,2025-06-25,2025-07-01,CRWD,494.79,487.55,497.465,61.43,0.368,6,partial;stop,73,95.0,8.0,12.0,209.0,531,91.0,526,83.0,523,XLK,1.0,11.0,2087327647.3009999,0.033178443336882676
A0,2025-06-02,2025-07-03,SPOT,671.91,656.84,712.514,446.63,2.694,31,close<MA;partial,48,12.0,9.0,14.0,251.0,553,161.0,551,46.0,547,XLC,5.0,11.0,1405877603.3379998,0.03510499057683235
A0,2025-07-03,2025-07-07,CRWD,517.14,500.15,499.6497,-349.74,-1.029,4,stop,73,100.0,6.0,13.0,391.0,584,137.0,580,84.0,577,XLK,1.0,11.0,1930677015.881,0.03284746312129881
A0,2025-05-13,2025-07-08,COOP,122.62,117.7,140.5659,628.02,3.649,56,close<MA;partial,61,19.0,17.0,19.0,523.0,762,89.0,758,101.0,756,XLF,5.0,11.0,84267391.2015,0.04425944832249367
A0,2025-07-09,2025-07-10,AVGO,277.98,272.72,272.4473,-254.63,-1.052,1,stop,36,46.0,2.0,15.0,363.0,592,74.0,586,197.0,583,XLK,1.0,11.0,6028818205.1565,0.02712329671658289
A0,2025-07-07,2025-07-15,UBER,94.47,93.54,93.4465,-138.77,-1.1,8,stop,73,95.0,6.0,13.0,176.0,571,182.0,567,71.0,564,XLI,2.0,11.0,1836876147.7025,0.026976846738488887
A0,2025-07-15,2025-07-16,AVGO,281.46,277.85,277.5722,-178.89,-1.077,1,stop,36,46.0,2.0,13.0,217.0,600,119.0,593,169.0,590,XLK,1.0,11.0,5721597019.7575,0.026012482425467866
A0,2025-07-09,2025-07-22,MSTR,415.01,400.17,421.1594,141.33,0.414,13,partial;stop,61,19.0,1.0,15.0,291.0,592,250.0,586,115.0,583,XLF,5.0,11.0,4232240443.4735003,0.03576170360224477
A0,2025-07-15,2025-07-22,GEV,557.37,545.49,560.8865,80.95,0.296,7,partial;stop,36,46.0,2.0,13.0,119.0,600,72.0,593,70.0,590,XLK,1.0,11.0,1571275162.001,0.03467832400370786
A0,2025-07-17,2025-07-22,AVGO,283.64,279.91,279.6301,-184.61,-1.075,5,stop,36,47.0,2.0,12.0,178.0,593,113.0,586,163.0,582,XLK,1.0,11.0,5691044782.242499,0.025803290969503418
A0,2025-06-24,2025-07-23,AMAT,178.5,175.0,186.2568,380.17,2.215,29,close<MA;partial,36,39.0,5.0,12.0,240.0,519,202.0,514,203.0,511,XLK,1.0,11.0,1211757733.0305,0.025913828506578786
A0,2025-07-25,2025-07-29,DASH,248.99,243.36,243.1166,-299.48,-1.043,4,stop,73,95.0,8.0,16.0,362.0,603,218.0,597,84.0,593,XLI,2.0,11.0,859679011.659,0.02622691429883662
A0,2025-07-28,2025-07-30,NKE,79.08,77.56,77.4824,-260.24,-1.051,2,stop,30,8.0,,,78.0,597,226.0,591,263.0,587,XLB,5.0,11.0,1491594544.4265,0.025742209704474973
A0,2025-07-24,2025-07-31,AVGO,290.83,283.5,292.118,56.65,0.176,7,partial;stop,36,47.0,2.0,13.0,238.0,594,106.0,588,150.0,584,XLK,1.0,11.0,5062098469.539,0.02643623280620721
A0,2025-07-30,2025-07-31,MRVL,83.19,80.57,80.4894,-351.48,-1.031,1,stop,36,47.0,2.0,14.0,425.0,593,204.0,588,513.0,584,XLK,1.0,11.0,1167767925.414,0.03253009330920313
A0,2025-07-08,2025-08-01,BA,219.22,214.72,222.1121,167.8,0.643,24,close<MA;partial,37,18.0,5.0,14.0,366.0,577,154.0,573,169.0,570,XLI,2.0,11.0,1856848519.0724998,0.025177074697576074
A0,2025-07-16,2025-08-01,SHOP,118.77,114.76,119.9172,49.39,0.286,16,partial;stop,73,105.0,9.0,12.0,251.0,598,198.0,592,234.0,588,XLK,1.0,11.0,808779033.6105,0.033754589409926074
A0,2025-07-31,2025-08-01,ORCL,256.02,253.32,247.5822,-413.49,-3.122,1,stop,73,94.0,7.0,12.0,112.0,554,55.0,548,60.0,544,XLK,1.0,11.0,2829270254.8165,0.026227499476597665
A0,2025-08-04,2025-08-07,URBN,78.3,76.57,76.4934,-290.57,-1.044,3,stop,56,5.0,,,197.0,615,124.0,610,86.0,605,XLY,4.0,11.0,127022580.51275,0.03396120675577534
A0,2025-08-04,2025-08-11,DASH,253.12,248.78,256.8667,183.45,0.862,7,partial;stop,73,98.0,8.0,16.0,191.0,615,199.0,610,96.0,605,XLI,2.0,11.0,690812111.1559999,0.025082436411180364
A0,2025-08-08,2025-08-13,APH,110.49,108.5,108.3915,-243.47,-1.055,5,stop,36,53.0,2.0,16.0,136.0,666,169.0,661,57.0,655,XLK,1.0,11.0,972380346.3025,0.02646284940966333
A0,2025-08-12,2025-08-15,AVGO,310.65,304.67,304.3603,-257.89,-1.051,3,stop,36,53.0,2.0,16.0,140.0,681,111.0,676,108.0,670,XLK,1.0,11.0,4956482975.415,0.02857425735881707
A0,2025-08-15,2025-08-18,NUE,151.15,147.44,145.5343,-471.8,-1.514,3,stop,33,6.0,,,313.0,706,207.0,700,286.0,695,XLB,6.0,11.0,242540089.32549995,0.024544060309784958
A0,2025-08-08,2025-08-20,DELL,136.28,134.0,133.866,-226.55,-1.059,12,stop,35,30.0,5.0,16.0,203.0,666,152.0,661,130.0,655,XLK,1.0,11.0,629598627.79,0.028635896772023373
A0,2025-08-18,2025-08-20,STX,158.16,154.07,153.9209,-173.72,-1.038,2,stop,35,31.0,6.0,14.0,275.0,711,102.0,705,83.0,701,XLK,1.0,11.0,559716900.28,0.03400149714793868
A0,2025-08-04,2025-08-21,BWXT,153.68,149.81,168.8773,1245.89,3.927,17,close<MA;partial,35,25.0,4.0,16.0,153.0,615,158.0,610,104.0,605,XLI,2.0,11.0,145288472.2135,0.025173986903579082
A0,2025-08-22,2025-08-29,EVR,320.97,312.89,321.4057,16.97,0.054,7,partial;stop,62,13.0,8.0,14.0,248.0,659,117.0,654,197.0,649,XLF,8.0,11.0,153913863.1455,0.025170195346376406
A0,2025-08-22,2025-09-02,WCC,219.28,212.87,218.6187,-34.6,-0.104,11,partial;stop,50,8.0,,,294.0,659,175.0,654,256.0,649,XLI,4.0,11.0,145995877.6905,0.02923693501702652
A0,2025-08-25,2025-09-02,WDC,78.88,76.7,79.1847,47.51,0.141,8,partial;stop,35,30.0,6.0,15.0,174.0,692,70.0,686,298.0,681,XLK,1.0,11.0,557947423.7277501,0.029329254736836553
A0,2025-09-11,2025-09-12,UAL,109.8,106.69,106.5847,-366.51,-1.034,1,stop,45,6.0,,,110.0,554,151.0,551,201.0,545,XLI,4.0,11.0,476942943.24549997,0.02830917255424213
A0,2025-09-03,2025-09-15,DHI,171.87,169.41,174.133,169.6,0.919,12,partial;stop,15,6.0,,,187.0,594,95.0,589,192.0,585,XLI,5.0,11.0,607635837.671,0.026729235675425966
A0,2025-09-09,2025-09-15,ALNY,470.28,457.83,457.3727,-348.49,-1.037,6,stop,28,43.0,7.0,12.0,317.0,557,75.0,554,83.0,547,XLV,8.0,11.0,494700667.358,0.02647210917562971
A0,2025-09-18,2025-09-19,INTC,31.81,30.77,30.3496,-498.6,-1.41,1,stop,36,55.0,2.0,13.0,262.0,576,241.0,574,432.0,568,XLK,3.0,11.0,1955670885.7925,0.032593764341185306
A0,2025-09-18,2025-09-25,SHOP,150.32,148.19,144.855,-480.93,-2.566,7,stop,73,95.0,9.0,13.0,298.0,576,133.0,574,160.0,568,XLK,3.0,11.0,800582198.4189999,0.02951769488589029
A0,2025-09-23,2025-09-25,IBKR,65.61,64.11,63.4465,-440.45,-1.439,2,stop,62,13.0,7.0,13.0,376.0,604,218.0,602,206.0,595,XLF,5.0,11.0,670903339.3824999,0.02706376489174215
A0,2025-09-29,2025-09-30,RBLX,140.85,137.69,137.5573,-184.43,-1.044,1,stop,73,100.0,11.0,15.0,207.0,638,184.0,636,74.0,629,XLK,1.0,11.0,934886603.4925001,0.037560426387011875
A0,2025-08-22,2025-10-06,WYNN,113.36,111.4,124.6005,1236.09,5.724,45,close<MA;partial,70,6.0,,,215.0,659,222.0,654,198.0,649,XLY,3.0,11.0,212022439.89949998,0.02548705104914472
A0,2025-08-21,2025-10-10,STX,159.14,153.69,206.7914,2906.8,8.75,50,close<MA;partial,35,27.0,6.0,14.0,164.0,676,63.0,671,63.0,666,XLK,1.0,11.0,534168223.742,0.03422017278067967
A0,2025-10-03,2025-10-10,UNH,362.67,356.61,364.6843,58.35,0.332,7,partial;stop,63,10.0,12.0,15.0,194.0,675,287.0,673,645.0,667,XLF,8.0,11.0,4523317146.252,0.027851824673774606
A0,2025-10-10,2025-10-13,GLW,87.84,85.68,85.0249,-421.93,-1.306,3,stop,33,7.0,,,174.0,672,80.0,669,144.0,662,XLB,10.0,11.0,687569114.9775001,0.02451926300682427
A0,2025-10-15,2025-10-17,AEM,173.67,172.29,172.1177,-118.24,-1.125,2,stop,10,26.0,2.0,16.0,197.0,752,142.0,747,320.0,740,XLB,9.0,11.0,536993100.861,0.028024172723322017
A0,2025-08-21,2025-10-22,NEM,70.36,68.9,80.2461,1759.67,6.77,62,close<MA;partial,10,21.0,2.0,14.0,125.0,676,124.0,671,84.0,666,XLB,6.0,11.0,668018223.8050001,0.02561477331001281
A0,2025-10-13,2025-10-22,ALNY,467.89,455.98,470.8567,83.14,0.249,9,partial;stop,28,61.0,7.0,15.0,360.0,718,116.0,714,146.0,707,XLV,4.0,11.0,471795833.9200001,0.025449581917347995
A0,2025-10-27,2025-10-28,AMAT,233.23,231.13,229.4503,-215.61,-1.799,1,stop,36,73.0,1.0,14.0,178.0,756,249.0,750,261.0,745,XLK,1.0,11.0,1831818924.31,0.03592436639137007
A0,2025-10-24,2025-10-29,MDB,338.29,333.54,333.2065,-198.18,-1.07,5,stop,73,106.0,8.0,14.0,300.0,748,147.0,743,151.0,738,XLK,1.0,11.0,484029700.91400003,0.036062467151295886
A0,2025-10-29,2025-10-31,AMAT,236.03,232.0,231.768,-238.44,-1.058,2,stop,36,72.0,1.0,16.0,200.0,761,255.0,754,250.0,749,XLK,1.0,11.0,1769480259.6334999,0.03458842615319715
A0,2025-11-03,2025-11-04,TSLA,467.47,453.8,453.3462,-183.57,-1.033,1,stop,37,26.0,9.0,16.0,273.0,816,129.0,808,219.0,803,XLY,2.0,11.0,36678700946.4635,0.03973253701495976
A0,2025-09-26,2025-11-07,ELAN,19.37,18.93,21.1267,704.7,4.0,42,close<MA;partial,28,52.0,7.0,14.0,263.0,632,153.0,630,115.0,623,XLV,10.0,11.0,178065014.9285,0.030033006140192952
A0,2025-10-24,2025-11-07,SNOW,257.03,252.7,258.3125,65.57,0.297,14,partial;stop,73,106.0,8.0,14.0,138.0,748,268.0,743,232.0,738,XLK,1.0,11.0,1063846730.8635,0.03508945101901413
A0,2025-11-10,2025-11-13,CRWD,556.37,544.25,540.449,-366.09,-1.314,3,stop,73,128.0,16.0,21.0,226.0,879,209.0,873,325.0,865,XLK,2.0,11.0,1174350916.208,0.029215566217483852
A0,2025-10-30,2025-11-14,MDB,347.21,336.95,344.3624,-96.71,-0.277,15,partial;stop,73,112.0,12.0,16.0,220.0,778,154.0,771,150.0,766,XLK,1.0,11.0,421530804.5315,0.03497428025278801
A0,2025-10-23,2025-11-18,M,18.75,18.52,19.1652,292.75,1.821,26,close<MA;partial,53,8.0,,,170.0,740,98.0,734,197.0,729,XLY,4.0,11.0,144056837.6815,0.032770555287484286
A0,2025-11-14,2025-11-18,VLO,183.17,177.83,177.5323,-366.65,-1.057,4,stop,29,5.0,,,155.0,839,155.0,837,277.0,828,XLE,3.0,11.0,375903796.99,0.029142684289743433
A0,2025-11-17,2025-11-18,CNC,37.96,36.36,36.3278,-353.74,-1.023,1,stop,63,12.0,13.0,20.0,304.0,847,175.0,844,801.0,835,XLF,9.0,11.0,404373220.856,0.04198805756422854
A0,2025-11-18,2025-11-21,UTHR,479.98,469.96,469.49,-272.73,-1.047,3,stop,28,71.0,2.0,21.0,159.0,865,73.0,862,158.0,853,XLV,1.0,11.0,250618920.59150004,0.03108333194289803
A0,2025-11-24,2025-12-02,CNC,39.35,37.59,37.5523,-186.89,-1.021,8,stop,63,14.0,15.0,21.0,164.0,908,138.0,904,845.0,896,XLF,8.0,11.0,391605407.378,0.04471332044195541
A0,2025-12-01,2025-12-02,LVS,69.35,69.07,69.0009,-68.97,-1.247,1,stop,70,9.0,,,109.0,840,232.0,836,155.0,829,XLY,5.0,11.0,348288662.00049996,0.027593306096506946
A0,2025-11-21,2025-12-08,WAT,392.18,381.43,392.923,11.86,0.069,17,partial;stop,38,46.0,9.0,22.0,127.0,875,119.0,871,423.0,863,XLV,1.0,11.0,231916562.887,0.02741141410879195
A0,2025-12-05,2025-12-09,KLAC,122.81,121.23,121.1108,-189.83,-1.077,4,stop,38,38.0,7.0,20.0,458.0,781,130.0,775,180.0,770,XLV,1.0,11.0,1207652670.3095,0.033301886250390954
A0,2025-12-10,2025-12-11,KLAC,124.36,122.08,121.9578,-264.71,-1.053,1,stop,38,36.0,6.0,18.0,394.0,742,127.0,736,195.0,730,XLV,2.0,11.0,1150185049.9385,0.031908029482777094
A0,2025-12-04,2025-12-15,CAT,593.83,587.0,596.8481,69.34,0.441,11,partial;stop,35,40.0,8.0,20.0,347.0,794,98.0,788,130.0,781,XLI,5.0,11.0,1385595102.5935,0.02962248827097235
A0,2025-11-18,2025-12-16,NTRA,212.42,204.35,228.2529,664.89,1.961,28,close<MA;partial,80,17.0,7.0,21.0,102.0,865,150.0,862,235.0,853,XLV,1.0,11.0,272781402.98649997,0.03802786630983597
A0,2025-11-19,2025-12-17,GOOG,294.81,287.67,312.8341,774.84,2.522,28,close<MA;partial,73,124.0,16.0,21.0,110.0,862,97.0,858,114.0,849,XLK,2.0,11.0,6311429884.0185,0.025777604714722686
A0,2025-12-22,2025-12-23,ILMN,137.22,135.41,135.2746,-194.75,-1.075,1,stop,38,35.0,5.0,14.0,252.0,736,89.0,733,176.0,727,XLV,1.0,11.0,236172287.4385,0.02986915028263674
A0,2025-12-22,2026-01-02,RVMD,81.57,78.75,78.6706,-373.76,-1.028,11,stop,28,63.0,1.0,14.0,262.0,736,20.0,733,74.0,727,XLV,1.0,11.0,195023383.56,0.03455571550097307
A0,2025-12-10,2026-01-06,TWLO,132.57,129.22,135.2694,277.78,0.804,27,close<MA;partial,73,112.0,15.0,18.0,427.0,742,162.0,736,432.0,730,XLK,1.0,11.0,242578986.75500003,0.03628811927612124
A0,2026-01-02,2026-01-07,DECK,105.95,104.0,100.899,-646.0,-2.594,5,stop,30,5.0,,,81.0,532,247.0,530,331.0,524,XLB,3.0,11.0,301333579.00299996,0.025744221586515535
A0,2026-01-07,2026-01-08,AAL,16.37,15.86,15.8439,-376.15,-1.031,1,stop,45,5.0,,,190.0,586,85.0,584,208.0,577,XLI,4.0,11.0,833883873.799,0.030952274340365675
A0,2026-01-05,2026-01-09,RDDT,249.09,241.0,240.759,-374.84,-1.03,4,stop,73,82.0,10.0,11.0,148.0,531,120.0,529,131.0,522,XLK,6.0,11.0,913134339.8610001,0.045427776197550465
A0,2026-01-12,2026-01-14,PAAS,56.13,55.46,55.4045,-176.05,-1.083,2,stop,10,25.0,1.0,14.0,174.0,633,70.0,631,102.0,624,XLB,2.0,11.0,326831004.9595,0.03951309169470481
A0,2026-01-21,2026-01-23,ON,62.83,61.03,60.9656,-190.45,-1.034,2,stop,36,63.0,2.0,14.0,237.0,660,245.0,657,415.0,652,XLK,8.0,11.0,536430191.69200003,0.028744718273454047
A0,2026-01-05,2026-02-02,KLAC,131.13,130.4,139.5283,873.63,11.539,28,close<MA;partial,38,22.0,4.0,11.0,173.0,531,174.0,529,168.0,522,XLV,1.0,11.0,992150301.2960001,0.024967141249188446
A0,2026-02-03,2026-02-04,EL,120.39,116.92,115.884,-473.16,-1.297,1,stop,28,66.0,4.0,21.0,233.0,929,217.0,927,288.0,921,XLB,1.0,11.0,398529189.7145,0.028853081427350786
A0,2026-01-05,2026-02-05,AMAT,276.4,276.12,300.1724,1165.04,86.108,31,close<MA;partial,36,55.0,2.0,11.0,296.0,531,122.0,529,156.0,522,XLK,6.0,11.0,1597190019.4015,0.024898865996263442
A0,2026-02-03,2026-02-06,KNX,59.95,59.01,58.8211,-256.23,-1.201,3,stop,42,6.0,,,240.0,929,109.0,927,222.0,921,XLI,4.0,11.0,209864957.871,0.033215341611297085
A0,2026-02-04,2026-02-10,ADI,321.55,312.63,320.4193,-45.28,-0.127,6,partial;stop,36,77.0,2.0,22.0,221.0,940,137.0,938,237.0,932,XLK,11.0,11.0,1148931441.476,0.02774201680285045
A0,2026-02-11,2026-02-12,SLB,51.72,50.93,50.8791,-219.92,-1.064,1,stop,13,30.0,6.0,23.0,255.0,997,149.0,995,178.0,990,XLE,2.0,11.0,1079063332.7080002,0.029357897989132204
A0,2026-02-11,2026-02-12,FITB,55.42,53.9,53.8411,-371.52,-1.035,1,stop,60,24.0,7.0,23.0,278.0,997,244.0,995,308.0,990,XLF,8.0,11.0,909660347.7450001,0.027632490632380817
A0,2026-02-13,2026-02-17,WMT,134.62,131.75,131.6182,-186.39,-1.046,4,stop,53,11.0,8.0,23.0,237.0,1053,194.0,1051,263.0,1047,XLY,10.0,11.0,5628556705.4795,0.02442179757272573
A0,2026-02-13,2026-02-17,MRK,122.78,121.03,120.909,-191.12,-1.069,4,stop,28,67.0,6.0,23.0,254.0,1053,175.0,1051,197.0,1047,XLV,5.0,11.0,1637729422.285,0.02678321895258885
A0,2026-02-20,2026-02-23,TGT,118.5,115.01,114.8983,-183.6,-1.033,3,stop,53,11.0,8.0,23.0,407.0,1083,260.0,1080,531.0,1076,XLY,9.0,11.0,687618852.267,0.02941029657698867
A0,2026-02-13,2026-02-25,LMT,647.24,639.0,651.4678,84.62,0.514,12,partial;stop,37,28.0,13.0,23.0,180.0,1053,124.0,1051,200.0,1047,XLI,4.0,11.0,1098108324.7319999,0.030022067314695956
A0,2026-02-23,2026-02-26,MRK,123.45,121.5,121.3815,-188.54,-1.062,3,stop,28,68.0,7.0,23.0,242.0,1088,302.0,1085,223.0,1081,XLV,9.0,11.0,1566824040.5375001,0.024537540071008813
A0,2026-02-24,2026-03-02,BKR,64.32,63.1,64.7926,69.11,0.388,6,partial;stop,35,54.0,5.0,23.0,113.0,1083,230.0,1080,205.0,1076,XLI,4.0,11.0,580862771.4590088,0.02751494657378758
A0,2026-03-02,2026-03-03,XOM,159.51,155.61,155.2746,-351.49,-1.086,1,stop,29,6.0,,,247.0,1131,194.0,1126,237.0,1121,XLE,1.0,11.0,3317136717.4733577,0.024441468708542212
A0,2026-03-02,2026-03-03,LMT,686.19,666.86,666.1976,-359.78,-1.035,1,stop,37,36.0,9.0,23.0,266.0,1131,121.0,1126,198.0,1121,XLI,3.0,11.0,1032349551.7014545,0.02815721974247711
A0,2026-03-02,2026-03-03,SLB,52.5,51.02,50.2197,-543.29,-1.544,1,stop,13,30.0,4.0,23.0,415.0,1131,132.0,1126,210.0,1121,XLE,1.0,11.0,888229429.1169012,0.02816674658681039
A0,2026-03-04,2026-03-05,JBHT,235.05,231.39,231.1586,-183.12,-1.063,1,stop,42,5.0,,,186.0,1130,160.0,1125,138.0,1120,XLI,3.0,11.0,247559106.18567362,0.034773496649405024
A0,2026-03-04,2026-03-05,TDY,693.57,676.88,674.4549,-191.18,-1.145,1,stop,38,61.0,13.0,25.0,248.0,1130,123.0,1125,287.0,1120,XLI,3.0,11.0,227039081.6316688,0.0270692968170212
A0,2026-03-04,2026-03-05,KNX,63.9,62.03,61.968,-180.04,-1.033,1,stop,42,5.0,,,222.0,1130,140.0,1125,212.0,1120,XLI,3.0,11.0,183784534.76012623,0.03817552782226264
A0,2026-03-10,2026-03-11,PWR,574.55,561.42,560.6488,-180.68,-1.059,1,stop,17,5.0,,,130.0,1111,213.0,1105,139.0,1100,XLI,3.0,11.0,632331512.6232237,0.03943790226795628
A0,2025-11-19,2026-03-13,EXAS,72.88,70.44,102.7991,4218.19,12.251,114,close<MA;partial,80,16.0,7.0,21.0,109.0,862,79.0,858,321.0,849,XLV,1.0,11.0,203450739.573,0.033505206928161765
