ticker,start,peak,year,raw_trough,gain_x,ndays,cum_dvol,shares,mcap,k,so_end
AVTX,2024-03-21,2024-03-28,2024,4.6,4.728260869565218,6,819489293.0164,801746.0,3688031.5999999996,222.20235125328102,2023-12-31
IZM,2024-03-28,2024-04-15,2024,8.42,5.880047505938242,12,512958017.7592,10326374.0,86948069.08,5.899590677364356,2023-06-30
NNE,2024-06-13,2024-06-25,2024,7.07,4.115983026874116,8,623977830.9521999,26007013.0,183869581.91,3.3935892194371933,2024-03-31
MLGO,2024-06-17,2024-06-27,2024,3.5500000000000003,4.833802816901408,8,2501991952.062297,5160670.600000001,18320380.630000003,136.56877564897496,2023-12-31
RGS,2024-06-20,2024-06-27,2024,4.71,5.095541401273885,6,751196173.6467,2279948.0,10738555.08,69.95318905108228,2024-04-26
TIL,2024-09-06,2024-09-13,2024,14.25,5.931228070175439,6,400719794.7305,6503913.0,92680760.25,4.323656750868096,2024-08-09
MNPR,2024-10-15,2024-10-24,2024,5.15,6.341747572815533,8,468528845.0437,3525079.0,18154156.85,25.808350611650685,2024-09-30
QMCO,2024-11-20,2024-11-25,2024,3.02,7.208609271523178,4,939225661.0767,4848482.0,14642415.64,64.14417430624854,2024-11-10
UMAC,2024-11-22,2024-11-29,2024,4.4,4.256818181818182,5,1531203417.8954,8300480.0,36522112.0,41.92537983278185,2024-11-13
QMCO,2024-12-06,2024-12-18,2024,13.75,4.36509090909091,9,1542836887.069,4848482.0,66666627.5,23.142566902293055,2024-11-10
PDYN,2024-12-19,2024-12-30,2024,3.13,4.252396166134186,7,1859042673.3305001,30112399.0,94251808.86999999,19.724212146364724,2024-11-06
DOMH,2025-02-07,2025-02-13,2025,3.22,4.037267080745341,5,566594259.846,7037022.0,22659210.84,25.00503057440106,2024-12-31
AIFF,2025-02-10,2025-02-13,2025,3.1,4.987096774193549,4,3182217463.1240997,8122060.0,25178386.0,126.38687257888968,2024-12-31
JNVR,2025-04-04,2025-04-15,2025,4.0,18.6125,8,993600420.0349001,1430222.0,5720888.0,173.67940432235346,2025-03-31
KDLY,2025-05-07,2025-05-15,2025,3.09,4.485436893203883,7,1736509071.4193,6050148.0,18694957.32,92.88649563064635,2025-03-31
LYRA,2025-05-28,2025-06-03,2025,4.39,6.28246013667426,5,874156258.4388999,1325344.5,5818262.3549999995,150.24352720837388,2025-05-02
CYN,2025-06-23,2025-06-27,2025,4.06,4.022167487684729,5,3948174854.7077,1751906.0,7112738.359999999,555.0850677864242,2025-05-07
BMNR,2025-06-23,2025-07-03,2025,4.4,30.68181818181818,9,10278210346.9981,2053366.0,9034810.4,1137.6232474118217,2025-05-31
ARTL,2025-06-27,2025-07-10,2025,6.79,4.197349042709868,9,711225731.7850944,546838.6666666666,3713034.5466666664,191.54837447542442,2025-05-12
INKT,2025-07-08,2025-07-11,2025,7.2,8.9125,4,2465707410.874,3990278.0,28730001.6,85.8234345129309,2025-06-30
CYCC,2025-07-14,2025-07-24,2025,3.31,5.181268882175226,9,1335261281.3244,1583965.0,5242924.15,254.6787333027505,2025-06-30
ANPA,2025-07-16,2025-07-25,2025,4.7,5.92127659574468,8,59359043.4892,11250000.0,52875000.0,1.1226296640983453,2024-09-30
VAPE,2025-07-21,2025-07-28,2025,8.41,6.847205707491082,6,909728426.6642001,802346.0,6747729.86,134.81992396539124,2025-05-15
QMMM,2025-09-04,2025-09-09,2025,7.12,29.073033707865168,4,893593381.3134,17206342.0,122509155.04,7.2940947231383335,2025-03-31
APLM,2025-09-12,2025-10-17,2025,6.83,5.366032210834553,7,44967634.582100004,1103348.0,7535866.84,5.967148244102997,2025-04-03
FOFO,2025-09-18,2025-09-26,2025,10.62,4.237288135593221,7,77722329.6607,5290000.0,56179799.99999999,1.383456859239442,2024-12-31
SPRB,2025-09-26,2025-10-07,2025,7.75,23.561290322580643,8,1448053623.9160001,563042.0,4363575.5,331.85025076706023,2025-08-12
STI,2025-10-08,2025-10-14,2025,5.08,5.511811023622047,5,1786619734.6455,2874326.0,14601576.08,122.35800607118433,2025-09-30
AQMS,2025-10-08,2025-10-14,2025,5.355,5.531279178338002,5,1194980643.0088,1856815.0,9943244.325000001,120.18015488207365,2025-09-30
AFJK,2025-12-05,2025-12-09,2025,8.0,11.0625,2,252244199.00880003,6121733.0,48973864.0,5.150588056698978,2025-11-18
BNAI,2026-01-13,2026-01-28,2026,3.61,17.451523545706372,11,4678803079.3005,5783524.0,20878521.64,224.0964738775681,2025-12-31
BATL,2026-02-26,2026-03-03,2026,4.15,6.669879518072289,4,3139308645.437557,16456563.0,68294736.45,45.96706581825541,2025-12-31
STI,2026-06-01,2026-06-05,2026,4.93,7.245436105476673,5,3751090216.3973465,7745683.0,38186217.19,98.23152153912909,2026-05-19
